status,comments,hour,photo,age,shares,link,likes,video,type,day,str_length,newlines
0,32,13,1,1375364974,306,0,482,0,4,3,349,4
0,105,12,1,1375360306,180,0,801,0,4,3,248,4
0,48,11,1,1375357222,117,0,333,0,4,3,294,4
0,32,09,1,1375350001,112,0,289,0,4,3,329,4
0,168,01,1,1375320987,203,0,696,0,4,3,401,6
1,96,20,0,1375302866,230,0,707,0,4,2,224,0
0,73,19,1,1375300737,266,0,512,0,4,2,255,2
1,199,19,0,1375297255,186,0,548,0,4,2,247,2
0,64,18,1,1375294275,231,0,535,0,4,2,359,4
0,43,16,1,1375288189,188,0,447,0,4,2,238,4
0,131,15,1,1375284339,302,0,601,0,4,2,311,4
0,232,13,1,1375278690,4491,0,3195,0,4,2,312,4
0,45,12,1,1375275248,131,0,448,0,4,2,352,4
0,168,09,1,1375263600,860,0,1311,0,4,2,362,4
0,121,01,1,1375233591,265,0,633,0,4,2,431,3
1,132,21,0,1375221478,895,0,1474,0,4,1,227,0
0,93,20,1,1375217764,151,0,636,0,4,1,195,4
0,63,18,1,1375209414,274,0,375,0,4,1,323,4
0,110,17,1,1375205086,113,0,384,0,4,1,357,6
1,115,17,0,1375204095,385,0,927,0,4,1,100,0
0,56,15,1,1375199573,242,0,547,0,4,1,293,2
1,95,14,0,1375193843,1082,0,1234,0,4,1,317,4
0,137,12,1,1375188208,333,0,632,0,4,1,383,5
0,67,09,1,1375176600,140,0,383,0,4,1,411,6
0,97,01,1,1375146786,296,0,639,0,4,1,324,4
