status,comments,hour,photo,age,shares,link,likes,video,string_length,type,day,newlines
0,11,05,1,1328399438,1,0,160,0,85,3,6,0
0,10,21,1,1328371801,1,0,356,0,26,3,5,0
0,6,17,1,1328356201,3,0,203,0,107,3,5,1
0,36,08,1,1328324432,32,0,401,0,31,3,5,0
0,46,23,1,1328290202,26,0,373,0,68,3,4,1
0,5,18,1,1328273980,3,0,202,0,46,3,4,0
0,7,13,1,1328255737,4,0,150,0,140,3,4,1
0,7,22,1,1328201399,4,0,250,0,36,3,3,0
0,6,14,1,1328174065,3,0,159,0,76,3,3,1
0,18,18,1,1328101889,3,0,213,0,106,3,2,1
0,18,11,1,1328075791,13,0,200,0,30,3,2,0
0,21,20,1,1328023410,3,0,317,0,43,3,1,0
0,13,18,1,1328013325,5,0,230,0,33,3,1,0
0,15,02,1,1327958308,20,0,229,0,35,3,1,0
0,47,13,1,1327911057,6,0,245,0,209,3,0,1
0,19,13,1,1327825024,0,0,214,0,51,3,6,0
0,7,10,1,1327811528,1,0,226,0,51,3,6,0
0,20,01,1,1327780063,0,0,166,0,88,3,6,0
0,2,17,1,1327753468,0,0,181,0,180,3,5,0
0,19,19,1,1327671529,28,0,279,0,67,3,4,1
0,3,14,1,1327654352,16,0,236,0,75,3,4,0
0,5,00,1,1327604888,0,0,226,0,40,3,4,0
1,15,15,0,1327571138,1,0,155,0,80,2,3,0
1,3,13,0,1327564493,0,0,153,0,126,2,3,0
0,20,10,1,1327553638,17,0,302,0,29,3,3,0
0,14,01,1,1327521371,0,0,171,0,19,3,3,0
0,7,20,1,1327503411,6,0,202,0,61,3,2,0
0,6,14,1,1327483766,0,0,189,0,70,3,2,1
0,19,19,1,1327414100,14,0,335,0,26,3,1,0
0,43,17,1,1327407055,1,0,143,0,249,3,1,4
0,4,13,1,1327392384,13,0,193,0,35,3,1,0
0,10,19,1,1327327484,4,0,189,0,73,3,0,0
0,13,08,1,1327288510,3,0,207,0,46,3,0,1
0,7,01,1,1327175891,1,0,149,0,56,3,6,1
0,18,11,1,1327124616,1,0,134,0,187,3,5,0
0,19,19,1,1327069308,4,0,200,0,62,3,4,0
0,31,15,1,1327054086,2,0,140,0,108,3,4,2
0,8,12,1,1326957495,3,0,128,0,110,3,3,0
0,9,20,1,1326897754,3,0,212,0,37,3,2,0
0,59,16,1,1326886111,1,0,143,0,151,3,2,1
0,32,19,1,1326808784,40,0,309,0,65,3,1,0
0,11,14,1,1326790625,3,0,178,0,82,3,1,1
0,6,17,1,1326713952,3,0,159,0,72,3,0,0
0,9,02,1,1326659840,2,0,136,0,28,3,0,0
0,10,17,1,1326627438,2,0,211,0,39,3,6,0
0,11,13,0,1326527311,17,0,202,1,24,1,5,0
0,8,23,1,1326477592,1,0,168,0,25,3,4,0
0,8,19,1,1326376026,0,0,169,0,35,3,3,0
0,9,00,1,1326309676,1,0,211,0,31,3,3,0
0,17,09,1,1326254842,0,0,125,0,286,3,2,1
0,11,16,1,1326193596,0,0,140,0,74,3,1,0
0,4,13,1,1326181581,2,0,132,0,118,3,1,1
0,18,22,1,1326129580,2,0,183,0,36,3,0,0
0,11,19,1,1326030283,2,0,184,0,86,3,6,1
0,4,11,1,1326002062,2,0,157,0,18,3,6,0
0,8,20,1,1325950078,2,0,199,0,35,3,5,0
0,9,21,1,1325866049,1,0,167,0,29,3,4,0
0,129,18,1,1325767614,1,0,132,0,146,3,3,1
0,5,11,1,1325743860,5,0,104,0,76,3,3,0
0,12,19,1,1325686969,0,0,186,0,11,3,2,0
0,11,16,0,1325673571,0,1,124,0,116,4,2,0
0,10,19,1,1325600094,12,0,167,0,45,3,1,0
0,5,14,1,1325581505,0,0,168,0,71,3,1,2
0,9,00,1,1325529716,2,0,181,0,15,3,1,0
0,21,22,1,1325437005,1,0,207,0,35,3,6,0
0,20,14,1,1325408054,14,0,218,0,123,3,6,1
0,11,22,1,1325349026,1,0,137,0,127,3,5,2
0,25,18,1,1325251751,2,0,180,0,48,3,4,0
0,8,03,1,1325196613,2,0,87,0,78,3,4,1
0,16,20,1,1325170970,0,0,137,0,30,3,3,0
0,8,15,1,1325154306,3,0,122,0,15,3,3,0
0,27,21,1,1325088978,16,0,150,0,194,3,2,2
0,10,16,1,1325068487,2,0,129,0,22,3,2,0
0,16,01,1,1325015678,2,0,95,0,38,3,2,0
0,19,19,1,1324995276,1,0,122,0,110,3,1,0
0,17,22,1,1324917014,1,0,156,0,19,3,0,0
0,63,17,1,1324899376,0,0,112,0,70,3,0,1
0,22,00,1,1324840697,0,0,86,0,122,3,0,0
0,24,16,1,1324811959,1,0,134,0,52,3,6,1
0,10,11,1,1324791627,0,0,109,0,34,3,6,0
0,17,00,1,1324751624,1,0,134,0,42,3,6,0
0,61,17,1,1324726765,2,0,117,0,47,3,5,0
0,51,21,1,1324656508,4,0,139,0,169,3,4,2
0,28,13,1,1324628479,1,0,121,0,30,3,4,0
0,26,02,1,1324587340,0,0,84,0,23,3,4,0
0,36,19,1,1324562044,3,0,126,0,56,3,3,0
0,26,08,1,1324349268,1,0,94,0,102,3,1,0
0,21,01,1,1324323291,4,0,143,0,25,3,1,0
