status[2],comments,hour[3],photo[4],age[5],shares,videos[6],link[7],string_length[8],newlines[9],likes
0,11,5,1,1328399438,1,0,0,85,0,160
0,10,21,1,1328371801,1,0,0,26,0,356
0,6,17,1,1328356201,3,0,0,107,1,203
0,36,8,1,1328324432,32,0,0,31,0,401
0,46,23,1,1328290202,26,0,0,68,1,373
0,5,18,1,1328273980,3,0,0,46,0,202
0,7,13,1,1328255737,4,0,0,140,1,150
0,7,22,1,1328201399,4,0,0,36,0,250
0,6,14,1,1328174065,3,0,0,76,1,159
0,18,18,1,1328101889,3,0,0,106,1,213
0,18,11,1,1328075791,13,0,0,30,0,200
0,21,20,1,1328023410,3,0,0,43,0,317
0,13,18,1,1328013325,5,0,0,33,0,230
0,15,2,1,1327958308,20,0,0,35,0,229
0,47,13,1,1327911057,6,0,0,209,1,245
0,19,13,1,1327825024,0,0,0,51,0,214
0,7,10,1,1327811528,1,0,0,51,0,226
0,20,1,1,1327780063,0,0,0,88,0,166
0,2,17,1,1327753468,0,0,0,180,0,181
0,19,19,1,1327671529,28,0,0,67,1,279
0,3,14,1,1327654352,16,0,0,75,0,236
0,5,0,1,1327604888,0,0,0,40,0,226
1,15,15,0,1327571138,1,0,0,80,0,155
1,3,13,0,1327564493,0,0,0,126,0,153
0,20,10,1,1327553638,17,0,0,29,0,302
0,14,1,1,1327521371,0,0,0,19,0,171
0,7,20,1,1327503411,6,0,0,61,0,202
0,6,14,1,1327483766,0,0,0,70,1,189
0,19,19,1,1327414100,14,0,0,26,0,335
0,43,17,1,1327407055,1,0,0,249,4,143
0,4,13,1,1327392384,13,0,0,35,0,193
0,10,19,1,1327327484,4,0,0,73,0,189
0,13,8,1,1327288510,3,0,0,46,1,207
0,7,1,1,1327175891,1,0,0,56,1,149
0,18,11,1,1327124616,1,0,0,187,0,134
0,19,19,1,1327069308,4,0,0,62,0,200
0,31,15,1,1327054086,2,0,0,108,2,140
0,8,12,1,1326957495,3,0,0,110,0,128
0,9,20,1,1326897754,3,0,0,37,0,212
0,59,16,1,1326886111,1,0,0,151,1,143
0,32,19,1,1326808784,40,0,0,65,0,309
0,11,14,1,1326790625,3,0,0,82,1,178
0,6,17,1,1326713952,3,0,0,72,0,159
0,9,2,1,1326659840,2,0,0,28,0,136
0,10,17,1,1326627438,2,0,0,39,0,211
0,11,13,0,1326527311,17,1,0,24,0,202
0,8,23,1,1326477592,1,0,0,25,0,168
0,8,19,1,1326376026,0,0,0,35,0,169
0,9,0,1,1326309676,1,0,0,31,0,211
0,17,9,1,1326254842,0,0,0,286,1,125
0,11,16,1,1326193596,0,0,0,74,0,140
0,4,13,1,1326181581,2,0,0,118,1,132
0,18,22,1,1326129580,2,0,0,36,0,183
0,11,19,1,1326030283,2,0,0,86,1,184
0,4,11,1,1326002062,2,0,0,18,0,157
0,8,20,1,1325950078,2,0,0,35,0,199
0,9,21,1,1325866049,1,0,0,29,0,167
0,129,18,1,1325767614,1,0,0,146,1,132
0,5,11,1,1325743860,5,0,0,76,0,104
0,12,19,1,1325686969,0,0,0,11,0,186
0,11,16,0,1325673571,0,0,1,116,0,124
0,10,19,1,1325600094,12,0,0,45,0,167
0,5,14,1,1325581505,0,0,0,71,2,168
0,9,0,1,1325529716,2,0,0,15,0,181
0,21,22,1,1325437005,1,0,0,35,0,207
0,20,14,1,1325408054,14,0,0,123,1,218
0,11,22,1,1325349026,1,0,0,127,2,137
0,25,18,1,1325251751,2,0,0,48,0,180
0,8,3,1,1325196613,2,0,0,78,1,87
0,16,20,1,1325170970,0,0,0,30,0,137
0,8,15,1,1325154306,3,0,0,15,0,122
0,27,21,1,1325088978,16,0,0,194,2,150
0,10,16,1,1325068487,2,0,0,22,0,129
0,16,1,1,1325015678,2,0,0,38,0,95
0,19,19,1,1324995276,1,0,0,110,0,122
0,17,22,1,1324917014,1,0,0,19,0,156
0,63,17,1,1324899376,0,0,0,70,1,112
0,22,0,1,1324840697,0,0,0,122,0,86
0,24,16,1,1324811959,1,0,0,52,1,134
0,10,11,1,1324791627,0,0,0,34,0,109
0,17,0,1,1324751624,1,0,0,42,0,134
0,61,17,1,1324726765,2,0,0,47,0,117
0,51,21,1,1324656508,4,0,0,169,2,139
